file_path,label,file_size_bytes,num_objects,has_js,has_open_action,has_launch,has_embedded_file,has_aa,entropy
BENIGN\Ben01\02eounrel.pdf,0,396936,186,0,0,0,0,0,7.9474
BENIGN\Ben01\02frrltr.pdf,0,250800,242,0,0,0,0,0,7.8324
BENIGN\Ben01\02govbnd.pdf,0,246975,236,0,0,0,0,0,7.8553
BENIGN\Ben01\02solp.pdf,0,367605,211,0,0,0,0,0,7.9408
BENIGN\Ben01\030.pdf,0,32782,41,0,1,0,0,0,7.7692
BENIGN\Ben01\031mandelson.pdf,0,67683,245,0,0,0,0,0,6.7493
BENIGN\Ben01\032.pdf,0,66789,54,0,0,0,0,0,7.8028
BENIGN\Ben01\033.pdf,0,14845,27,0,1,0,0,0,7.1595
BENIGN\Ben01\036.pdf,0,15797,24,0,1,0,0,0,7.351
BENIGN\Ben01\03herman.pdf,0,170338,279,0,1,0,0,0,7.7503
BENIGN\Ben01\041.pdf,0,227816,12,1,0,0,0,0,6.4518
BENIGN\Ben01\041211-arl-ala-reply-comments.pdf,0,146609,69,0,0,0,0,1,7.9676
BENIGN\Ben01\041211-MLA.pdf,0,175564,59,0,0,0,0,0,7.9596
BENIGN\Ben01\041211-society-of-american-archivists.pdf,0,251034,40,0,0,0,0,0,7.9895
BENIGN\Ben01\041411jgregg-gautereaux.pdf,0,329269,49,0,0,0,0,0,7.9825
BENIGN\Ben01\041411riaa-aaim.pdf,0,89597,35,0,0,0,0,0,7.9658
BENIGN\Ben01\041412arsc.pdf,0,130658,100,0,0,0,0,0,7.876
BENIGN\Ben01\041413future-music-coalition.pdf,0,182234,67,0,0,0,0,0,7.9633
BENIGN\Ben01\041413nab.pdf,0,39018,39,0,0,0,0,0,7.6327
BENIGN\Ben01\041413patrick-loughney.pdf,0,74917,45,0,0,0,0,0,7.8382
BENIGN\Ben01\041413sirius-xm-radio.pdf,0,42076,65,0,0,0,0,0,7.4847
BENIGN\Ben01\042301f.pdf,0,46374,93,0,0,0,0,0,7.4015
BENIGN\Ben01\042302f.pdf,0,13568,30,0,0,0,0,0,7.4195
BENIGN\Ben01\042303f.pdf,0,17459,41,0,0,0,0,0,7.1013
BENIGN\Ben01\042304f.pdf,0,46182,48,0,0,0,0,0,7.8389
BENIGN\Ben01\042305f.pdf,0,29152,61,0,0,0,0,0,7.3526
BENIGN\Ben01\042306f.pdf,0,46348,94,0,0,0,0,0,7.4633
BENIGN\Ben01\042307f.pdf,0,15521,37,0,0,0,0,0,6.9338
BENIGN\Ben01\042308f.pdf,0,42074,70,0,0,0,0,0,7.4088
BENIGN\Ben01\042901f.pdf,0,58341,69,0,0,0,0,0,7.7421
BENIGN\Ben01\042902f.pdf,0,18179,38,0,0,0,0,0,7.2245
BENIGN\Ben01\042903f.pdf,0,49720,59,0,0,0,0,0,7.797
BENIGN\Ben01\043.pdf,0,25634,41,0,1,0,0,0,7.4622
BENIGN\Ben01\043101f.pdf,0,26280,35,0,0,0,0,0,7.6325
BENIGN\Ben01\043102f.pdf,0,46381,94,0,0,0,0,0,7.4623
BENIGN\Ben01\043103f.pdf,0,25516,35,0,0,0,0,0,7.5597
BENIGN\Ben01\044101f.pdf,0,21682,30,0,0,0,0,0,7.5868
BENIGN\Ben01\044102f.pdf,0,95626,39,0,0,0,0,0,7.953
BENIGN\Ben01\044103f.pdf,0,31402,38,0,0,0,0,0,7.6741
BENIGN\Ben01\045time_warner.pdf,0,23681,39,0,0,0,0,0,7.2651
BENIGN\Ben01\04alm.pdf,0,31371,46,0,0,0,0,0,7.4257
BENIGN\Ben01\04dubin.pdf,0,148948,206,0,0,0,0,0,7.667
BENIGN\Ben01\04fidart.pdf,0,197328,196,0,0,0,0,0,7.8421
BENIGN\Ben01\04finkelstein.pdf,0,34634,155,0,1,0,0,1,6.6939
BENIGN\Ben01\04ludasa.pdf,0,122538,180,0,1,0,0,0,7.7677
BENIGN\Ben01\04spintr.pdf,0,278495,118,0,0,0,0,0,7.9521
BENIGN\Ben01\050201f.pdf,0,16851,35,0,0,0,0,0,7.1772
BENIGN\Ben01\050202f.pdf,0,11576,23,0,0,0,0,0,7.1185
BENIGN\Ben01\050203f.pdf,0,24051,51,0,0,0,0,0,7.1753
BENIGN\Ben01\050societyaa.pdf,0,20638,28,0,0,0,0,0,7.2957
BENIGN\Ben01\051001f.pdf,0,25817,29,0,0,0,0,0,7.5806
BENIGN\Ben01\051801f.pdf,0,71424,89,0,0,0,0,0,7.7669
BENIGN\Ben01\051802f.pdf,0,24996,34,0,0,0,0,0,7.5083
BENIGN\Ben01\051nfais.pdf,0,48050,54,1,0,0,0,0,7.3289
BENIGN\Ben01\052005-lore.pdf,0,280843,54,0,0,0,0,1,7.6052
BENIGN\Ben01\052501f.pdf,0,19893,28,0,0,0,0,0,7.1813
BENIGN\Ben01\055.pdf,0,11493,29,0,1,0,0,0,7.1767
BENIGN\Ben01\055201f.pdf,0,25694,36,0,0,0,0,0,7.3817
BENIGN\Ben01\055202f.pdf,0,25560,34,0,0,0,0,0,7.5343
BENIGN\Ben01\055203f.pdf,0,82952,88,0,0,0,0,0,7.7953
BENIGN\Ben01\056arromdee.pdf,0,111108,141,0,1,0,0,0,7.4573
BENIGN\Ben01\058hull.pdf,0,16021,29,0,0,0,0,0,7.1071
BENIGN\Ben01\059siia.pdf,0,46225,65,0,0,0,0,0,7.4775
BENIGN\Ben01\05co1120sfigb.pdf,0,11001,18,0,0,0,0,0,6.3076
BENIGN\Ben01\05co1120sfige.pdf,0,11191,21,0,0,0,0,0,6.261
BENIGN\Ben01\05co1120sfigf.pdf,0,10992,18,0,0,0,0,0,6.3026
BENIGN\Ben01\05eonta.pdf,0,111194,104,0,0,0,0,0,7.7829
BENIGN\Ben01\05lohmann.pdf,0,196492,421,0,1,0,0,0,7.6906
BENIGN\Ben01\060901f.pdf,0,32820,58,0,0,0,0,0,7.3889
BENIGN\Ben01\060902f.pdf,0,18683,25,0,0,0,0,0,7.0732
BENIGN\Ben01\061701f.pdf,0,19901,27,0,0,0,0,0,6.9872
BENIGN\Ben01\061702f.pdf,0,17719,23,0,0,0,0,0,7.3175
BENIGN\Ben01\061703f.pdf,0,35137,46,0,0,0,0,0,7.3788
BENIGN\Ben01\062201f.pdf,0,27754,40,0,0,0,0,0,7.1616
BENIGN\Ben01\062701f.pdf,0,51377,59,0,0,0,0,0,7.7705
BENIGN\Ben01\062801f.pdf,0,23036,29,0,0,0,0,0,7.4909
BENIGN\Ben01\064301f.pdf,0,53946,73,0,0,0,0,0,7.6792
BENIGN\Ben01\064401f.pdf,0,30011,45,1,0,0,0,0,6.7838
BENIGN\Ben01\064601f.pdf,0,35581,81,0,0,0,0,0,7.4701
BENIGN\Ben01\064602f.pdf,0,23173,29,0,0,0,0,0,7.5118
